ticker,name,industry,data_date,total_score,rating,final_decision,quality_score,moat_score,growth_score,balance_sheet_score,valuation_score,management_score,risk_penalty,brand_score,switching_cost_score,network_effect_score,scale_advantage_score,pricing_power_score,moat_durability_score,calculated_moat_score,trend_score,industry_rank,industry_size,industry_avg_score,score_vs_industry,data_mode,financial_data_years,auto_calculated_metrics,fin_source,fin_updated_at,fin_data_warning,data_source,confidence_score,circle_of_competence,warning_note,debt_reason,moat_reason,management_reason,risk_reason
V,维萨,金融科技,2025-03-31,81.5,★★  加入观察池,加入观察池,30.0,18.0,15.0,12.0,7.0,4.5,-5,8.0,9.0,10.0,9.0,9.0,9.0,9.0,9.2,1,2,73.5,8.0,annual_financials,2021-2025,是,yfinance,2026-05-31,4年均使用近似ROIC,年报,9,inside,[财务数据] 4年均使用近似ROIC,,全球支付网络效应+发卡行切换成本极高,历任CEO专注核心业务分红稳定增长,监管风险（数字货币冲击），增长可能趋缓
MSFT,微软,科技,2025-03-31,81.17,★★  加入观察池,加入观察池,30.0,16.67,15.0,15.0,5.0,4.5,-5,8.0,10.0,7.0,8.0,8.0,9.0,8.33,4.2,1,3,74.6,6.6,annual_financials,2021-2025,是,yfinance,2026-05-31,4年均使用近似ROIC,年报,9,inside,财务趋势恶化，需要谨慎（ROE、ROIC趋势下滑） | [财务数据] 4年均使用近似ROIC,,软件生态转换成本极高+Azure云垄断地位,萨提亚纳德拉资本配置卓越以股东为中心,估值历史偏高，AI投入巨大短期压制利润
GOOGL,Alphabet,科技/广告,2026-05-31,79.0,★★  加入观察池,加入观察池,29.0,17.0,15.0,10.0,4.0,4.0,0,9.0,7.0,9.0,10.0,8.0,8.0,8.5,10.0,1,1,79.0,0.0,annual_financials,2022-2025,是,yfinance,2026-05-31,年度数据仅 4 年（建议 5 年）; 4年均使用近似ROIC,manual_pending,7,edge,[财务数据] 年度数据仅 4 年（建议 5 年）; 4年均使用近似ROIC,,搜索入口、广告生态、YouTube、Android 与数据规模形成强护城河，但 AI 搜索可能削弱传统搜索壁垒。,长期技术投入强，现金流充足，资本配置总体稳健，但需要继续观察 AI 时代的执行力。,反垄断监管、AI 对搜索商业模式的冲击、广告周期波动。
META,Meta,科技/媒体,2025-03-31,77.83,★★  加入观察池,加入观察池,28.0,14.33,15.0,10.0,12.0,3.5,-5,6.0,5.0,10.0,9.0,7.0,6.0,7.17,10.0,1,1,77.8,0.0,annual_financials,2022-2025,是,yfinance,2026-05-31,年度数据仅 4 年（建议 5 年）; 4年均使用近似ROIC,年报,8,inside,[财务数据] 年度数据仅 4 年（建议 5 年）; 4年均使用近似ROIC,,社交网络效应+广告算法领先,扎克伯格技术执行力强但元宇宙投入争议大,政府反垄断调查广告监管趋严
JNJ,强生,医疗健康,2025-03-31,77.0,★★  加入观察池,加入观察池,29.0,13.0,7.0,12.0,12.0,4.0,0,8.0,6.0,2.0,8.0,7.0,8.0,6.5,9.2,1,1,77.0,0.0,annual_financials,2021-2025,是,yfinance,2026-05-31,4年均使用近似ROIC,年报,8,edge,[财务数据] 4年均使用近似ROIC,,医疗器械+制药双业务壁垒专利保护强,百年老店分红60年连续增长保守稳健,talc诉讼赔付风险，专利悬崖压力
NVDA,英伟达,科技,2025-03-31,75.83,★★  加入观察池,加入观察池,30.0,16.33,15.0,15.0,0.0,4.5,-5,8.0,9.0,7.0,9.0,9.0,7.0,8.17,10.0,2,3,74.6,1.2,annual_financials,2022-2026,是,yfinance,2026-05-31,4年均使用近似ROIC,年报,8,edge,[财务数据] 4年均使用近似ROIC,,GPU生态CUDA软件壁垒极深,黄仁勋战略眼光卓越产品路线图清晰,AI需求能否持续，估值历史极高分位
ADBE,Adobe,软件,2026-05-31,71.33,★★  加入观察池,加入观察池,29.0,15.33,15.0,7.0,6.0,4.0,-5,8.0,9.0,5.0,8.0,8.0,8.0,7.67,10.0,1,2,65.2,6.1,annual_financials,2022-2025,是,yfinance,2026-05-31,年度数据仅 4 年（建议 5 年）; 4年均使用近似ROIC,manual_pending,7,edge,[财务数据] 年度数据仅 4 年（建议 5 年）; 4年均使用近似ROIC,,创意软件生态强，专业用户转换成本高，订阅制收入稳定。,从买断制转订阅制执行成功，长期盈利质量较高，但 AI 时代需继续观察战略执行。,AI 工具和新兴创意软件竞争加剧，估值偏高时安全边际不足。
KO,可口可乐,消费品,2025-03-31,69.67,★   一般,一般，暂不研究,27.0,13.67,10.0,3.0,12.0,4.0,0,10.0,3.0,2.0,8.0,9.0,9.0,6.83,9.2,1,2,65.7,4.0,annual_financials,2022-2025,是,yfinance,2026-05-31,年度数据仅 4 年（建议 5 年）; 4年均使用近似ROIC,年报,9,inside,[财务数据] 年度数据仅 4 年（建议 5 年）; 4年均使用近似ROIC,,品牌溢价+全球分销网络+口味习惯锁定,守成稳健回购节奏稳定但进取不足,糖饮料需求长期下行，健康消费趋势不利
AAPL,苹果,科技,2025-03-31,66.83,★   一般,一般，暂不研究,27.0,17.33,5.0,8.0,5.0,4.5,0,10.0,9.0,7.0,9.0,9.0,8.0,8.67,8.3,3,3,74.6,-7.8,annual_financials,2021-2025,是,yfinance,2026-05-31,4年均ROE>100%; 4年均使用近似ROIC,年报,9,inside,ROE异常(163%)：可能因大量回购导致股东权益极低，分数虚高 | [财务数据] 4年均ROE>100%; 4年均使用近似ROIC,,iOS生态锁定+品牌溢价+用户黏性极强,库克资本配置极佳回购规模全球最大,iPhone需求触顶，中国市场受压
MA,万事达,金融科技,2026-05-31,65.5,★   一般,一般，暂不研究,29.0,18.0,15.0,0.0,4.0,4.5,-5,8.0,9.0,10.0,9.0,9.0,9.0,9.0,9.2,2,2,73.5,-8.0,annual_financials,2022-2025,是,yfinance,2026-05-31,年度数据仅 4 年（建议 5 年）; 4年均ROE>100%; 4年均使用近似ROIC,manual_pending,7,edge,ROE异常(178%)：可能因大量回购导致股东权益极低，分数虚高 | [财务数据] 年度数据仅 4 年（建议 5 年）; 4年均ROE>100%; 4年均使用近似ROIC,,全球支付网络、银行与商户双边网络效应强，转换成本高，轻资产商业模式优秀。,长期专注支付网络业务，盈利能力和股东回报稳定，资本配置较理性。,估值偏高，监管压力，数字钱包、实时支付和新型支付方式可能带来竞争。
