ticker,year,revenue,net_income,free_cash_flow,roe,roic,gross_margin,net_margin,debt_to_equity
AAPL,2020,274.5,57.4,73.4,73.7,28.7,38.2,20.9,1.73
AAPL,2021,365.8,94.7,93.0,147.4,38.9,41.8,25.9,2.00
AAPL,2022,394.3,99.8,111.4,197.0,49.0,43.3,25.3,1.99
AAPL,2023,383.3,97.0,99.6,172.2,52.1,44.1,25.3,2.08
AAPL,2024,391.0,93.7,108.8,145.8,48.6,43.2,24.0,1.79
MSFT,2020,143.0,44.3,45.2,40.1,25.8,67.8,31.0,0.50
MSFT,2021,168.1,61.3,56.1,43.4,30.2,68.4,36.5,0.40
MSFT,2022,198.3,72.7,65.1,43.6,31.8,68.4,36.7,0.40
MSFT,2023,211.9,72.4,59.5,38.1,28.4,69.3,34.2,0.40
MSFT,2024,245.1,88.1,74.1,43.2,30.2,69.5,35.8,0.40
NVDA,2020,10.9,2.8,3.8,23.6,16.2,62.3,25.6,0.40
NVDA,2021,16.7,4.3,4.7,26.9,19.4,63.3,25.6,0.30
NVDA,2022,26.9,9.8,8.1,44.2,32.1,64.9,36.2,0.40
NVDA,2023,60.0,29.8,27.0,51.2,38.4,68.0,49.7,0.40
NVDA,2024,130.5,63.0,33.7,68.4,44.8,72.8,48.2,0.40
V,2020,21.8,7.1,7.7,33.8,19.2,79.8,32.6,0.50
V,2021,24.1,12.3,13.8,37.2,21.4,79.5,51.0,0.40
V,2022,29.3,14.9,17.1,37.4,21.8,80.1,50.9,0.40
V,2023,32.7,17.3,18.9,38.1,22.1,79.7,52.8,0.40
V,2024,35.9,19.7,21.0,38.6,22.4,79.8,54.8,0.40
JNJ,2020,82.6,14.7,19.8,23.0,16.8,67.5,17.8,0.50
JNJ,2021,93.8,20.9,21.5,24.5,17.8,67.2,22.3,0.40
JNJ,2022,94.9,17.9,18.5,22.8,16.9,67.0,18.9,0.50
JNJ,2023,85.2,13.8,16.3,22.1,17.2,67.1,16.2,0.40
JNJ,2024,88.8,14.1,19.4,24.8,17.8,67.2,15.9,0.40
