ticker,name,industry,data_date,roe_5y_avg,gross_margin_5y_avg,net_margin_5y_avg,fcf_positive_years,debt_to_equity,revenue_growth_5y_cagr,eps_growth_5y_cagr,pe,fcf_yield,roic_5y_avg,pe_percentile_5y,moat_score,management_score,moat_reason,management_reason,risk_note,risk_reason,data_source,confidence_score,circle_of_competence,warning_note,brand_score,switching_cost_score,network_effect_score,scale_advantage_score,pricing_power_score,moat_durability_score,roe_trend,roic_trend,margin_trend,revenue_trend,debt_reason
MSFT,微软,科技,2025-03-31,43.2,69.5,35.8,5,0.4,14.8,21.3,32.4,2.8,30.2,75,10,9,软件生态转换成本极高+Azure云垄断地位,萨提亚纳德拉资本配置卓越以股东为中心,,估值历史偏高，AI投入巨大短期压制利润,年报,9,inside,,8,10,7,8,8,9,improving,improving,improving,improving,
V,维萨,金融科技,2025-03-31,38.6,79.8,51.2,5,0.4,10.2,16.4,28.5,3.1,22.4,62,10,9,全球支付网络效应+发卡行切换成本极高,历任CEO专注核心业务分红稳定增长,,监管风险（数字货币冲击），增长可能趋缓,年报,9,inside,,8,9,10,9,9,9,stable,stable,stable,stable,
KO,可口可乐,消费品,2025-03-31,38.1,60.8,22.4,5,1.6,3.8,6.1,24.3,3.8,14.8,48,10,8,品牌溢价+全球分销网络+口味习惯锁定,守成稳健回购节奏稳定但进取不足,,糖饮料需求长期下行，健康消费趋势不利,年报,9,inside,,10,3,2,8,9,9,stable,stable,stable,stable,
AAPL,苹果,科技,2025-03-31,145.8,43.2,23.8,5,1.8,8.4,18.2,28.5,2.9,48.6,72,9,9,iOS生态锁定+品牌溢价+用户黏性极强,库克资本配置极佳回购规模全球最大,,iPhone需求触顶，中国市场受压,年报,9,inside,,10,9,7,9,9,8,declining,stable,declining,declining,
JNJ,强生,医疗健康,2025-03-31,24.8,67.2,18.4,5,0.4,3.4,6.8,15.3,4.8,17.8,42,9,8,医疗器械+制药双业务壁垒专利保护强,百年老店分红60年连续增长保守稳健,,talc诉讼赔付风险，专利悬崖压力,年报,8,edge,,8,6,2,8,7,8,stable,stable,stable,stable,
META,Meta,科技/媒体,2025-03-31,22.4,80.1,28.4,5,0.1,15.8,18.2,22.1,4.3,24.6,38,8,7,社交网络效应+广告算法领先,扎克伯格技术执行力强但元宇宙投入争议大,policy risk,政府反垄断调查广告监管趋严,年报,8,inside,,6,5,10,9,7,6,improving,improving,improving,improving,
MCD,麦当劳,餐饮,2025-03-31,82.4,56.2,24.8,5,8.2,5.3,9.4,22.1,4.2,14.2,55,9,9,特许经营模式护城河深品牌全球无处不在,管理层执行力强特许体系运营稳定,debt,高杠杆经营，利率敏感，健康饮食趋势压力,年报,8,inside,,9,3,2,9,7,8,stable,stable,stable,stable,特许经营模式导致高D/E，非传统恶性负债；但绝对债务规模大，利率上行风险需关注；建议结合interest_coverage和net_debt_to_EBITDA评估
PG,宝洁,消费品,2025-03-31,28.4,48.8,17.2,5,0.6,4.8,7.4,24.8,3.2,17.4,58,8,8,品牌组合+渠道覆盖+研发壁垒,低调稳健65年分红连续增长记录,,通胀挤压利润，日用品创新难度大,年报,8,inside,,8,3,2,8,7,7,stable,stable,stable,stable,
NVDA,英伟达,科技,2025-03-31,68.4,72.8,48.2,5,0.4,52.3,85.2,47.2,1.3,44.8,93,10,9,GPU生态CUDA软件壁垒极深,黄仁勋战略眼光卓越产品路线图清晰,high valuation,AI需求能否持续，估值历史极高分位,年报,8,edge,,8,9,7,9,9,7,improving,improving,improving,improving,
BABA,阿里巴巴,电商/云计算,2025-03-31,12.4,38.2,14.8,5,0.2,6.4,-8.2,14.3,6.2,10.2,12,7,5,阿里云+电商平台网络效应明显,蔡崇信回归稳定预期但执行待观察,policy risk,中国监管不确定性极高，拼多多竞争激烈,公开财报(审计质量存疑),5,outside,,7,5,8,8,5,5,declining,declining,declining,declining,
